ID,mean,std
4195,-0.0035634025,0.08471702
2148,-0.004551629,0.091875456
101,-0.0047098086,0.09634637
4196,-0.003647106,0.084872864
4199,-0.003939903,0.08832328
4200,-0.003862869,0.087299526
2153,-0.0044433377,0.09284291
106,-0.004735891,0.09613106
2155,-0.0037763205,0.08578315
107,-0.0032829656,0.08076139
108,-0.0038981552,0.08910509
4202,-0.003865066,0.08722712
4203,-0.0050783404,0.09627344
112,-0.003883674,0.08661714
113,-0.006372852,0.10536734
4093,-0.0060119955,0.09950717
4205,-0.005172287,0.09864303
116,-0.0041509573,0.090297334
2164,-0.003199464,0.07987141
118,-0.0041745966,0.09144334
2167,-0.0044006715,0.09216397
120,-0.003289683,0.08097924
2168,-0.004310702,0.092676684
4209,-0.003953895,0.0873219
123,-0.004236455,0.092816636
4211,-0.004417413,0.093106255
4212,-0.004444388,0.092423394
126,-0.0039004253,0.08826504
127,-0.004379997,0.09303455
4216,-0.004036419,0.08855077
4217,-0.0042631626,0.089726545
130,-0.003381864,0.08226297
4218,-0.0050448366,0.095953174
2180,-0.004060452,0.08838636
4222,-0.004606545,0.09275046
2182,-0.00331367,0.08066145
135,-0.003528914,0.08425525
2184,-0.003681793,0.08561285
2185,-0.0039969436,0.08934876
4225,-0.004070946,0.09023832
2187,-0.0036036833,0.08315138
4229,-0.004528765,0.09154052
4235,-0.0037938794,0.08597165
142,-0.0040187575,0.08851954
2191,-0.004145476,0.0894806
2195,-0.0034974536,0.08230363
2196,-0.0038151853,0.086910225
4243,-0.004713284,0.09563372
150,-0.00443977,0.09317128
4250,-0.0047733183,0.095131174
156,-0.004438002,0.09197441
4252,-0.005036038,0.09540042
159,-0.0032744594,0.08128728
160,-0.005075757,0.097837
2208,-0.0038064995,0.08673346
2210,-0.005250833,0.098251894
4255,-0.004226581,0.09084525
4257,-0.0049719983,0.09567211
4258,-0.0042231786,0.0909522
166,-0.004194372,0.08944819
4262,-0.0053512766,0.09850917
4263,-0.004851689,0.09581739
169,-0.0039865114,0.08832679
4264,-0.004127559,0.087098114
171,-0.004831906,0.09431914
172,-0.003956082,0.089105785
173,-0.0038802163,0.08648407
2220,-0.0043038186,0.09206172
4266,-0.0036830697,0.08483946
4268,-0.0036473481,0.085333355
2225,-0.003799718,0.08684034
4269,-0.004177633,0.090809695
4270,-0.00396976,0.08829283
4271,-0.003778796,0.08568391
4277,-0.0033613732,0.08203185
4278,-0.004130684,0.089177795
4280,-0.004424197,0.093228444
2233,-0.0034336671,0.08186088
186,-0.0046991017,0.095327236
4281,-0.0033969465,0.082932904
2239,-0.003617026,0.084085025
4291,-0.005213928,0.09788634
4292,-0.0038339437,0.08695908
4293,-0.003889108,0.08817707
4294,-0.0047260122,0.09566554
2247,-0.0036191551,0.08466972
200,-0.003722394,0.08614059
2248,-0.0044536097,0.09291936
4299,-0.0046367086,0.09482809
4300,-0.0075353966,0.11249189
205,-0.003525126,0.08336231
4302,-0.0050675506,0.096720845
4303,-0.0045914585,0.09482148
210,-0.003681258,0.08496421
4308,-0.0046861186,0.09437395
4309,-0.0030615148,0.078053266
214,-0.0036313941,0.08521054
2263,-0.004158577,0.09015016
2264,-0.0039220564,0.08776197
217,-0.0034980814,0.0843902
4310,-0.003776916,0.085780755
4311,-0.0039834585,0.08862293
4312,-0.0034922971,0.08357784
4313,-0.0038873192,0.08792683
4320,-0.0043949075,0.09289602
225,-0.004055977,0.08885016
2274,-0.004270072,0.09046843
227,-0.00477607,0.09623915
4324,-0.004607452,0.09286397
229,-0.0039828047,0.08836176
230,-0.004054417,0.08926734
232,-0.0044556917,0.09412449
4331,-0.006687616,0.10596574
4332,-0.0043057995,0.090305835
4337,-0.004400621,0.091404356
4338,-0.005073192,0.09646559
4339,-0.004089884,0.08987824
4340,-0.0037325467,0.08620693
4343,-0.0042183404,0.09021434
4345,-0.0040493566,0.08978382
4346,-0.0041976026,0.09009723
4348,-0.0038547118,0.08735345
2301,-0.003929017,0.08826425
4349,-0.003680011,0.085029006
4351,-0.003595478,0.08440561
256,-0.0043534334,0.0935746
257,-0.0035869265,0.08553333
2304,-0.0035559367,0.08408597
259,-0.0040383786,0.08982328
260,-0.0037927376,0.08659143
2307,-0.0044355355,0.09114916
2308,-0.0040271347,0.08764398
4352,-0.004628843,0.09370663
4356,-0.003717664,0.085579194
4357,-0.003793077,0.08620425
4359,-0.0042865374,0.092215724
2315,-0.003587199,0.08432345
2316,-0.0038275928,0.086922854
4360,-0.0035146426,0.08359095
4363,-0.004187426,0.08988529
4365,-0.0048044827,0.0962789
272,-0.0037388802,0.08542902
4366,-0.005928352,0.10409244
4367,-0.00374429,0.08629388
276,-0.0038657014,0.08724486
4372,-0.004127855,0.09021864
4376,-0.003979916,0.08832072
4379,-0.0048020217,0.09445422
285,-0.003888732,0.08816575
2333,-0.003934169,0.0884916
4381,-0.0033549122,0.08177755
4382,-0.0033008754,0.08123432
289,-0.004277533,0.09130324
4383,-0.0035932013,0.08497407
291,-0.005002055,0.09854298
292,-0.0046812887,0.096605524
4386,-0.003486679,0.08381261
4388,-0.0038198559,0.08622931
295,-0.003976867,0.0888916
296,-0.003947199,0.089034505
4389,-0.0043094335,0.09200926
298,-0.0038028976,0.08692092
4390,-0.0032953257,0.08121397
4391,-0.0039296965,0.08877018
